[0m[ INFO] [1491405016.099707367]: Requesting the map from /octomap_binary...[0m
[0m[ INFO] [1491405016.450000471, 208.105000000]: Calling function 1[0m
 length of returned P1 : 2
RG Called:1.25 6 1.25 6 b= 0
 length of returned P1 : 3
RG Called:1.25 6 0.25 8 b= 1.90933
RG Called:0.288218 5.09092 1.25 6 b= 5.36399
[0m[ INFO] [1491406015.224895561, 1124.628000000]: Requesting the map from /octomap_binary...[0m
 S : 0.288218   5.09092
 Mid point : -0.75    6
 T : 1.25   6
RG Called:0.288218 5.09092 -0.75 6 b= 1
RG Called:0.288218 5.09092 -0.75 6 b= 2.45466
[0m[ INFO] [1491406015.239156712, 1124.640000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:-0.75 6 1.25 6 b= 2.90933
[0m[ INFO] [1491406015.249565262, 1124.650000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406015.269688868, 1124.668000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 23.2376
 past MI : 21.4701
RG Called:0.288218 5.09092 -0.75 6 b= 3.90933
[0m[ INFO] [1491406015.292675312, 1124.689000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:-0.75 6 1.25 6 b= 1.45466
RG Called:0.288218 5.09092 -0.75 6 b= 5.36399
[0m[ INFO] [1491406015.304549542, 1124.696000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:-0.75 6 1.25 6 b= 0
 S : 0.288218   5.09092
 Mid point : 0.25    5
 T : 1.25   6
RG Called:0.288218 5.09092 0.25 5 b= 1
[0m[ INFO] [1491406015.319224211, 1124.714000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 5 1.25 6 b= 4.36399
[0m[ INFO] [1491406015.327728720, 1124.719000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406015.351778016, 1124.739000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 20.8016
 past MI : 23.2376
RG Called:0.288218 5.09092 0.25 5 b= 2.45466
[0m[ INFO] [1491406015.377896280, 1124.767000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 5 1.25 6 b= 2.90933
[0m[ INFO] [1491406015.394867815, 1124.780000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406015.410321897, 1124.793000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 20.8178
 past MI : 23.2376
RG Called:0.288218 5.09092 0.25 5 b= 3.90933
[0m[ INFO] [1491406015.423168999, 1124.806000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 5 1.25 6 b= 1.45466
[0m[ INFO] [1491406015.441622371, 1124.821000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406015.456395975, 1124.832000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 23.0043
 past MI : 23.2376
RG Called:0.288218 5.09092 0.25 5 b= 5.36399
[0m[ INFO] [1491406015.473676511, 1124.848000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 5 1.25 6 b= 0
 S : 0.288218   5.09092
 Mid point : 0.25    6
 T : 1.25   6
RG Called:0.288218 5.09092 0.25 6 b= 1
[0m[ INFO] [1491406015.489755204, 1124.864000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 6 1.25 6 b= 4.36399
[0m[ INFO] [1491406015.500167494, 1124.874000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406015.522181008, 1124.892000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 23.8017
 past MI : 23.2376
RG Called:0.288218 5.09092 0.25 6 b= 2.45466
[0m[ INFO] [1491406015.536945375, 1124.906000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 6 1.25 6 b= 2.90933
[0m[ INFO] [1491406015.550532524, 1124.918000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406015.570896588, 1124.937000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 22.7801
 past MI : 23.8017
RG Called:0.288218 5.09092 0.25 6 b= 3.90933
[0m[ INFO] [1491406015.584858614, 1124.951000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 6 1.25 6 b= 1.45466
[0m[ INFO] [1491406015.601229988, 1124.966000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406015.616228641, 1124.981000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 21.481
 past MI : 23.8017
RG Called:0.288218 5.09092 0.25 6 b= 5.36399
[0m[ INFO] [1491406015.629456144, 1124.993000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 6 1.25 6 b= 0
 S : 0.288218   5.09092
 Mid point : 1.25    6
 T : 1.25   6
RG Called:0.288218 5.09092 1.25 6 b= 1
RG Called:0.288218 5.09092 1.25 6 b= 2.45466
[0m[ INFO] [1491406015.649118316, 1125.013000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:1.25 6 1.25 6 b= 2.90933
RG Called:0.288218 5.09092 1.25 6 b= 3.90933
[0m[ INFO] [1491406015.662162799, 1125.022000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:1.25 6 1.25 6 b= 1.45466
RG Called:0.288218 5.09092 1.25 6 b= 5.36399
[0m[ INFO] [1491406015.679149867, 1125.034000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:1.25 6 1.25 6 b= 0
 length of returned P1 : 3
RG Called:1.25 6 0.25 8 b= 0.454664
 S : 0.288218   5.09092
 Mid point : -0.75    7
 T : 0.25   8
RG Called:0.288218 5.09092 -0.75 7 b= 1
RG Called:0.288218 5.09092 -0.75 7 b= 2.45466
[0m[ INFO] [1491406015.691034445, 1125.046000000]: Requesting the map from /octomap_binary...[0m
 S : 0.288218   5.09092
 Mid point : -0.75    6
 T : -0.75   7
RG Called:0.288218 5.09092 -0.75 6 b= 1
RG Called:0.288218 5.09092 -0.75 6 b= 2.45466
[0m[ INFO] [1491406015.702815101, 1125.055000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:-0.75 6 -0.75 7 b= 0
 S : 0.288218   5.09092
 Mid point : 0.25    5
 T : -0.75   7
RG Called:0.288218 5.09092 0.25 5 b= 1
[0m[ INFO] [1491406015.716862990, 1125.064000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 5 -0.75 7 b= 1.45466
RG Called:0.288218 5.09092 0.25 5 b= 2.45466
[0m[ INFO] [1491406015.728940668, 1125.080000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 5 -0.75 7 b= 0
 S : 0.288218   5.09092
 Mid point : 0.25    6
 T : -0.75   7
RG Called:0.288218 5.09092 0.25 6 b= 1
[0m[ INFO] [1491406015.738583950, 1125.089000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 6 -0.75 7 b= 1.45466
[0m[ INFO] [1491406015.757974902, 1125.105000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406015.771456467, 1125.119000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 23.5406
 past MI : 19.8204
RG Called:0.288218 5.09092 0.25 6 b= 2.45466
[0m[ INFO] [1491406015.783951088, 1125.128000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 6 -0.75 7 b= 0
 S : 0.288218   5.09092
 Mid point : 1.25    6
 T : -0.75   7
RG Called:0.288218 5.09092 1.25 6 b= 1
RG Called:0.288218 5.09092 1.25 6 b= 2.45466
[0m[ INFO] [1491406015.799087313, 1125.144000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:1.25 6 -0.75 7 b= 0
 S : 0.288218   5.09092
 Mid point : -0.75    7
 T : -0.75   7
RG Called:0.288218 5.09092 -0.75 7 b= 1
RG Called:0.288218 5.09092 -0.75 7 b= 2.45466
[0m[ INFO] [1491406015.810680953, 1125.154000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:-0.75 7 -0.75 7 b= 0
 S : 0.288218   5.09092
 Mid point : 0.25    7
 T : -0.75   7
RG Called:0.288218 5.09092 0.25 7 b= 1
RG Called:0.288218 5.09092 0.25 7 b= 2.45466
[0m[ INFO] [1491406015.820401961, 1125.164000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 7 -0.75 7 b= 0
 S : 0.288218   5.09092
 Mid point : 1.25    7
 T : -0.75   7
RG Called:0.288218 5.09092 1.25 7 b= 1
RG Called:0.288218 5.09092 1.25 7 b= 2.45466
[0m[ INFO] [1491406015.830999951, 1125.171000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:1.25 7 -0.75 7 b= 0
 length of returned P1 : 3
RG Called:-0.75 7 0.25 8 b= 3.36399
[0m[ INFO] [1491406015.841344882, 1125.179000000]: Requesting the map from /octomap_binary...[0m
 S : -0.75   7
 Mid point : -0.75    7
 T : 0.25   8
RG Called:-0.75 7 -0.75 7 b= 1
RG Called:-0.75 7 -0.75 7 b= 2.45466
 S : -0.75   7
 Mid point : 0.25    7
 T : 0.25   8
RG Called:-0.75 7 0.25 7 b= 1
[0m[ INFO] [1491406015.860113997, 1125.198000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 7 0.25 8 b= 2.36399
[0m[ INFO] [1491406015.878081079, 1125.214000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406015.898806903, 1125.233000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 1.19399
 past MI : 1.09861
RG Called:-0.75 7 0.25 7 b= 2.45466
[0m[ INFO] [1491406015.918724825, 1125.249000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 7 0.25 8 b= 0.909328
 S : -0.75   7
 Mid point : 1.25    7
 T : 0.25   8
RG Called:-0.75 7 1.25 7 b= 1
RG Called:-0.75 7 1.25 7 b= 2.45466
[0m[ INFO] [1491406015.938674345, 1125.266000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:1.25 7 0.25 8 b= 0.909328
 length of returned P2 : 3
 length of returned Path : 5
[0m[ INFO] [1491406015.952114867, 1125.276000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 23.9098
 past MI : 25.8314
RG Called:0.288218 5.09092 -0.75 7 b= 3.90933
[0m[ INFO] [1491406015.968148314, 1125.288000000]: Requesting the map from /octomap_binary...[0m
 S : 0.288218   5.09092
 Mid point : -0.75    6
 T : -0.75   7
RG Called:0.288218 5.09092 -0.75 6 b= 1
RG Called:0.288218 5.09092 -0.75 6 b= 2.45466
[0m[ INFO] [1491406015.980462332, 1125.300000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:-0.75 6 -0.75 7 b= 1.45466
[0m[ INFO] [1491406015.991684252, 1125.310000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406016.005565694, 1125.318000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 20.6003
 past MI : 21.1956
RG Called:0.288218 5.09092 -0.75 6 b= 3.90933
[0m[ INFO] [1491406016.028834639, 1125.341000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:-0.75 6 -0.75 7 b= 0
 S : 0.288218   5.09092
 Mid point : 0.25    5
 T : -0.75   7
RG Called:0.288218 5.09092 0.25 5 b= 1
[0m[ INFO] [1491406016.043498662, 1125.355000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 5 -0.75 7 b= 2.90933
[0m[ INFO] [1491406016.060821009, 1125.368000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406016.077065440, 1125.385000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 21.7605
 past MI : 21.1956
RG Called:0.288218 5.09092 0.25 5 b= 2.45466
[0m[ INFO] [1491406016.090056193, 1125.397000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 5 -0.75 7 b= 1.45466
RG Called:0.288218 5.09092 0.25 5 b= 3.90933
[0m[ INFO] [1491406016.105792995, 1125.412000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 5 -0.75 7 b= 0
 S : 0.288218   5.09092
 Mid point : 0.25    6
 T : -0.75   7
RG Called:0.288218 5.09092 0.25 6 b= 1
[0m[ INFO] [1491406016.129909915, 1125.434000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 6 -0.75 7 b= 2.90933
[0m[ INFO] [1491406016.143524900, 1125.447000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406016.168298811, 1125.472000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 23.9997
 past MI : 21.7605
RG Called:0.288218 5.09092 0.25 6 b= 2.45466
[0m[ INFO] [1491406016.191819607, 1125.493000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 6 -0.75 7 b= 1.45466
[0m[ INFO] [1491406016.206096625, 1125.505000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406016.220061576, 1125.516000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 26.41
 past MI : 23.9997
RG Called:0.288218 5.09092 0.25 6 b= 3.90933
[0m[ INFO] [1491406016.232400641, 1125.528000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 6 -0.75 7 b= 0
 S : 0.288218   5.09092
 Mid point : 1.25    6
 T : -0.75   7
RG Called:0.288218 5.09092 1.25 6 b= 1
RG Called:0.288218 5.09092 1.25 6 b= 2.45466
[0m[ INFO] [1491406016.247910127, 1125.539000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:1.25 6 -0.75 7 b= 1.45466
RG Called:0.288218 5.09092 1.25 6 b= 3.90933
[0m[ INFO] [1491406016.272405690, 1125.564000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:1.25 6 -0.75 7 b= 0
 S : 0.288218   5.09092
 Mid point : -0.75    7
 T : -0.75   7
RG Called:0.288218 5.09092 -0.75 7 b= 1
RG Called:0.288218 5.09092 -0.75 7 b= 2.45466
[0m[ INFO] [1491406016.308450221, 1125.593000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:-0.75 7 -0.75 7 b= 1.45466
RG Called:0.288218 5.09092 -0.75 7 b= 3.90933
[0m[ INFO] [1491406016.322048029, 1125.605000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:-0.75 7 -0.75 7 b= 0
 S : 0.288218   5.09092
 Mid point : 0.25    7
 T : -0.75   7
RG Called:0.288218 5.09092 0.25 7 b= 1
RG Called:0.288218 5.09092 0.25 7 b= 2.45466
[0m[ INFO] [1491406016.336402858, 1125.616000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 7 -0.75 7 b= 1.45466
[0m[ INFO] [1491406016.348881699, 1125.627000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406016.367840546, 1125.645000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 23.0369
 past MI : 26.41
RG Called:0.288218 5.09092 0.25 7 b= 3.90933
[0m[ INFO] [1491406016.391580626, 1125.669000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 7 -0.75 7 b= 0
 S : 0.288218   5.09092
 Mid point : 1.25    7
 T : -0.75   7
RG Called:0.288218 5.09092 1.25 7 b= 1
RG Called:0.288218 5.09092 1.25 7 b= 2.45466
[0m[ INFO] [1491406016.407350750, 1125.682000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:1.25 7 -0.75 7 b= 1.45466
RG Called:0.288218 5.09092 1.25 7 b= 3.90933
[0m[ INFO] [1491406016.417726187, 1125.692000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:1.25 7 -0.75 7 b= 0
 length of returned P1 : 3
RG Called:-0.75 7 0.25 8 b= 1.90933
[0m[ INFO] [1491406016.434720150, 1125.705000000]: Requesting the map from /octomap_binary...[0m
 S : -0.75   7
 Mid point : -0.75    7
 T : 0.25   8
RG Called:-0.75 7 -0.75 7 b= 1
 S : -0.75   7
 Mid point : 0.25    7
 T : 0.25   8
RG Called:-0.75 7 0.25 7 b= 1
[0m[ INFO] [1491406016.456608380, 1125.726000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 7 0.25 8 b= 0.909328
 S : -0.75   7
 Mid point : 1.25    7
 T : 0.25   8
RG Called:-0.75 7 1.25 7 b= 1
 length of returned P2 : 2
 length of returned Path : 4
[0m[ INFO] [1491406016.476804708, 1125.742000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 24.5108
 past MI : 25.8314
RG Called:0.288218 5.09092 -0.75 7 b= 5.36399
[0m[ INFO] [1491406016.492337570, 1125.757000000]: Requesting the map from /octomap_binary...[0m
 S : 0.288218   5.09092
 Mid point : -0.75    6
 T : -0.75   7
RG Called:0.288218 5.09092 -0.75 6 b= 1
RG Called:0.288218 5.09092 -0.75 6 b= 2.45466
[0m[ INFO] [1491406016.508007952, 1125.773000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:-0.75 6 -0.75 7 b= 2.90933
[0m[ INFO] [1491406016.521745618, 1125.785000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406016.536110819, 1125.797000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 21.9934
 past MI : 20.9473
RG Called:0.288218 5.09092 -0.75 6 b= 3.90933
[0m[ INFO] [1491406016.566163340, 1125.824000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:-0.75 6 -0.75 7 b= 1.45466
[0m[ INFO] [1491406016.575793896, 1125.833000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406016.599499121, 1125.857000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 23.3976
 past MI : 21.9934
RG Called:0.288218 5.09092 -0.75 6 b= 5.36399
[0m[ INFO] [1491406016.619025632, 1125.875000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:-0.75 6 -0.75 7 b= 0
 S : 0.288218   5.09092
 Mid point : 0.25    5
 T : -0.75   7
RG Called:0.288218 5.09092 0.25 5 b= 1
[0m[ INFO] [1491406016.639679898, 1125.889000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 5 -0.75 7 b= 4.36399
[0m[ INFO] [1491406016.652567581, 1125.906000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406016.667903342, 1125.911000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 20.1147
 past MI : 23.3976
RG Called:0.288218 5.09092 0.25 5 b= 2.45466
[0m[ INFO] [1491406016.695619632, 1125.946000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 5 -0.75 7 b= 2.90933
[0m[ INFO] [1491406016.707793272, 1125.956000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406016.738207769, 1125.984000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 20.2839
 past MI : 23.3976
RG Called:0.288218 5.09092 0.25 5 b= 3.90933
[0m[ INFO] [1491406016.753537133, 1125.999000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 5 -0.75 7 b= 1.45466
RG Called:0.288218 5.09092 0.25 5 b= 5.36399
[0m[ INFO] [1491406016.765566745, 1126.007000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 5 -0.75 7 b= 0
 S : 0.288218   5.09092
 Mid point : 0.25    6
 T : -0.75   7
RG Called:0.288218 5.09092 0.25 6 b= 1
[0m[ INFO] [1491406016.777270960, 1126.018000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 6 -0.75 7 b= 4.36399
[0m[ INFO] [1491406016.789985782, 1126.031000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406016.815194209, 1126.053000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 25.5999
 past MI : 23.3976
RG Called:0.288218 5.09092 0.25 6 b= 2.45466
[0m[ INFO] [1491406016.826734868, 1126.063000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 6 -0.75 7 b= 2.90933
[0m[ INFO] [1491406016.838149135, 1126.075000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406016.852284832, 1126.085000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 25.1634
 past MI : 25.5999
RG Called:0.288218 5.09092 0.25 6 b= 3.90933
[0m[ INFO] [1491406016.876108404, 1126.108000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 6 -0.75 7 b= 1.45466
[0m[ INFO] [1491406016.886483237, 1126.118000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406016.904250206, 1126.134000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 22.2358
 past MI : 25.5999
RG Called:0.288218 5.09092 0.25 6 b= 5.36399
[0m[ INFO] [1491406016.917834449, 1126.147000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 6 -0.75 7 b= 0
 S : 0.288218   5.09092
 Mid point : 1.25    6
 T : -0.75   7
RG Called:0.288218 5.09092 1.25 6 b= 1
RG Called:0.288218 5.09092 1.25 6 b= 2.45466
[0m[ INFO] [1491406016.930258795, 1126.159000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:1.25 6 -0.75 7 b= 2.90933
[0m[ INFO] [1491406016.943068965, 1126.172000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406016.958790332, 1126.187000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 24.0371
 past MI : 25.5999
RG Called:0.288218 5.09092 1.25 6 b= 3.90933
[0m[ INFO] [1491406016.978097597, 1126.204000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:1.25 6 -0.75 7 b= 1.45466
RG Called:0.288218 5.09092 1.25 6 b= 5.36399
[0m[ INFO] [1491406016.988357483, 1126.210000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:1.25 6 -0.75 7 b= 0
 S : 0.288218   5.09092
 Mid point : -0.75    7
 T : -0.75   7
RG Called:0.288218 5.09092 -0.75 7 b= 1
RG Called:0.288218 5.09092 -0.75 7 b= 2.45466
[0m[ INFO] [1491406017.000565176, 1126.222000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:-0.75 7 -0.75 7 b= 2.90933
RG Called:0.288218 5.09092 -0.75 7 b= 3.90933
[0m[ INFO] [1491406017.013549843, 1126.235000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:-0.75 7 -0.75 7 b= 1.45466
RG Called:0.288218 5.09092 -0.75 7 b= 5.36399
[0m[ INFO] [1491406017.041563868, 1126.263000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:-0.75 7 -0.75 7 b= 0
 S : 0.288218   5.09092
 Mid point : 0.25    7
 T : -0.75   7
RG Called:0.288218 5.09092 0.25 7 b= 1
RG Called:0.288218 5.09092 0.25 7 b= 2.45466
[0m[ INFO] [1491406017.051378842, 1126.272000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 7 -0.75 7 b= 2.90933
[0m[ INFO] [1491406017.073979399, 1126.289000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406017.101705790, 1126.313000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 23.5278
 past MI : 25.5999
RG Called:0.288218 5.09092 0.25 7 b= 3.90933
[0m[ INFO] [1491406017.113475415, 1126.321000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 7 -0.75 7 b= 1.45466
[0m[ INFO] [1491406017.127584452, 1126.334000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406017.141103639, 1126.348000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 23.4531
 past MI : 25.5999
RG Called:0.288218 5.09092 0.25 7 b= 5.36399
[0m[ INFO] [1491406017.159103028, 1126.365000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:0.25 7 -0.75 7 b= 0
 S : 0.288218   5.09092
 Mid point : 1.25    7
 T : -0.75   7
RG Called:0.288218 5.09092 1.25 7 b= 1
RG Called:0.288218 5.09092 1.25 7 b= 2.45466
[0m[ INFO] [1491406017.169330357, 1126.376000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:1.25 7 -0.75 7 b= 2.90933
[0m[ INFO] [1491406017.182716942, 1126.384000000]: Requesting the map from /octomap_binary...[0m
 length of returned P2 : 2
 length of returned Path : 3
[0m[ INFO] [1491406017.197826926, 1126.398000000]: Requesting the map from /octomap_binary...[0m
 calculated MI : 22.076
 past MI : 25.5999
RG Called:0.288218 5.09092 1.25 7 b= 3.90933
[0m[ INFO] [1491406017.210618563, 1126.407000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:1.25 7 -0.75 7 b= 1.45466
RG Called:0.288218 5.09092 1.25 7 b= 5.36399
[0m[ INFO] [1491406017.222038251, 1126.419000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:1.25 7 -0.75 7 b= 0
 length of returned P1 : 3
RG Called:-0.75 7 0.25 8 b= 0.454664
 S : 0.288218   5.09092
 Mid point : 0.25    7
 T : 0.25   8
RG Called:0.288218 5.09092 0.25 7 b= 1
RG Called:0.288218 5.09092 0.25 7 b= 2.45466
[0m[ INFO] [1491406017.230912416, 1126.426000000]: Requesting the map from /octomap_binary...[0m
 S : 0.288218   5.09092
 Mid point : -0.75    6
 T : 0.25   7
RG Called:0.288218 5.09092 -0.75 6 b= 1
RG Called:0.288218 5.09092 -0.75 6 b= 2.45466
[0m[ INFO] [1491406017.243091006, 1126.441000000]: Requesting the map from /octomap_binary...[0m
 length of returned P1 : 2
RG Called:-0.75 6 0.25 7 b= 0
 S : 0.288218   5.09092
 Mid point : 0.25    5
 T : 0.25   7
RG Called:0.288218 5.09092 0.25 5 b= 1
